"","Climate","HousingCost","HlthCare","Crime","Transp","Educ","Arts","Recreat","Econ","CaseNum","Long","Lat","Pop","StNum"
"272",855,15547,532,1026,5662,2719,2684,3300,5821,272,-120.195999145508,34.6710014343262,298694,5
"273",843,14303,1035,964,5010,2611,3748,1703,5335,273,-122.022003173828,36.9720001220703,188141,5
"274",732,12931,1052,912,3313,2722,3457,2255,5703,274,-122.679000854492,38.3380012512207,299681,5
"275",391,9560,801,939,3742,2626,817,2535,7715,275,-82.531997680664,27.3369998931885,202251,10
"276",542,6896,1084,1614,5958,2456,2262,2237,5591,276,-81.093002319336,32.0769996643066,220553,11
"277",575,6697,1219,372,3683,3230,1832,1386,4907,277,-75.7750015258789,41.3269996643066,728796,39
"278",808,10183,2715,1170,6634,2710,9577,4800,5901,278,-122.330001831055,47.5970001220703,1607469,48
"279",570,6697,700,384,2017,3022,52,1100,4055,279,-80.5169982910156,41.2330017089844,128299,39
"280",442,8121,593,450,3458,2557,268,1316,4765,280,-87.7480010986328,43.7599983215332,100935,49
"281",524,5722,394,1035,1922,2652,68,937,6213,281,-96.5759963989258,33.6949996948242,89796,44
"282",508,6534,1445,1197,4401,2858,2826,1389,6585,282,-93.7580032348633,32.4900016784668,333079,19
"283",385,6528,846,759,4316,2673,1393,1359,4648,283,-96.3919982910156,42.492000579834,117457,13
"284",276,7983,1041,556,6271,2651,465,1324,5204,284,-96.702003479004,43.4949989318848,109435,42
"285",545,5938,830,1038,5634,2874,2672,1819,5056,285,-86.2149963378906,41.6689987182617,241617,16
"286",574,6927,497,869,5534,2774,2988,1517,4722,286,-117.404998779297,47.6720008850098,341835,48
"287",524,7882,1877,1225,6172,3078,1983,1536,5384,287,-89.6480026245117,39.7999992370605,187789,15
"288",453,8039,710,1212,6159,3525,3466,1514,5289,288,-72.5879974365234,42.0999984741211,515259,20
"289",544,6343,577,892,3828,2709,1634,1737,5932,289,-93.2900009155273,37.2200012207031,207704,25
"290",648,23640,2610,835,3110,3029,7865,1729,6158,290,-73.5400009155273,41.0530014038086,198854,7
"291",575,8405,612,540,2740,3169,1271,1200,4677,291,-77.8669967651367,40.7919998168945,112760,39
"292",542,6578,505,418,1532,2672,147,1460,3744,292,-80.5970001220703,40.3759994506836,163099,36
"293",625,8474,342,1395,4427,2155,1579,1630,5672,293,-121.285003662109,37.9580001831055,347342,5
"294",548,7670,1040,689,6951,3144,5080,2851,4474,294,-76.1500015258789,43.0519981384277,642971,35
"295",808,7770,539,1162,4730,2546,4297,4000,4887,295,-122.432998657227,47.2369995117188,485643,48
"296",404,8029,370,1161,5530,2790,2181,1936,6021,296,-84.281997680664,30.4449996948242,190220,10
"297",440,7442,1189,1493,5588,3044,5040,2943,7256,297,-82.6640014648438,27.9549999237061,1613603,10
"298",557,5527,453,630,3550,3012,1226,1401,4353,298,-87.4079971313477,39.4669990539551,137247,16
"299",467,5717,343,822,2537,2899,63,669,4772,299,-94.052001953125,33.431999206543,113067,44
"300",518,7767,1738,998,5323,2852,4389,1952,4534,300,-83.5279998779297,41.5909996032715,616864,36
"301",501,7110,1148,999,5348,2795,1632,1141,5464,301,-95.6699981689453,39.0519981384277,154916,17
"302",636,10616,1372,1181,4786,3311,5029,1646,5772,302,-74.7669982910156,40.2249984741211,307863,32
"303",589,8548,1259,1400,4397,2685,4889,3131,6147,303,-110.968002319336,32.2169990539551,531443,4
"304",530,7498,1581,1080,3758,2628,4248,2024,7115,304,-95.902000427246,36.1599998474121,657173,37
"305",470,6464,674,1014,4723,2390,1432,1090,4900,305,-87.5670013427734,33.2050018310547,137541,2
"306",500,7298,672,955,3460,3283,404,631,7327,306,-95.302001953125,32.3450012207031,128366,44
"307",548,6744,391,400,4592,2970,858,1750,5226,307,-75.3410034179688,43.1590003967285,320180,35
"308",821,10503,1079,964,4153,2498,2962,1559,5819,308,-122.194000244141,38.2200012207031,334402,5
"309",768,9015,517,752,3817,2332,1557,1464,4571,309,-122.669998168945,45.625,192227,48
"310",336,7143,260,1092,2407,2696,87,1410,7599,310,-97.004997253418,28.8050003051758,68807,44
"311",615,7295,807,1135,4133,2747,2097,1474,5023,311,-75.0989990234375,39.4379997253418,132866,32
"312",543,7778,210,1132,3094,2128,511,2800,5563,312,-119.219001770020,36.2039985656738,245738,5
"313",412,6106,538,1166,3018,2867,1141,1248,6259,313,-97.1419982910156,31.5470008850098,170755,44
"314",631,13724,4361,1317,8236,3635,21701,1578,6072,314,-77.0329971313477,38.8919982910156,3250822,8
"315",569,10024,1218,789,2434,2995,318,946,5656,315,-73.0479965209961,41.4099998474121,204968,7
"316",347,7881,925,700,3351,2889,3000,1900,4407,316,-92.3970031738281,42.5099983215332,162781,13
"317",308,7642,818,442,3496,2749,761,1654,4300,317,-89.6399993896484,44.9599990844727,111270,49
"318",509,10512,375,1783,5201,3224,2888,3772,7992,318,-80.218002319336,26.6550006866455,576863,10
"319",542,6576,791,308,2450,3002,422,1271,4740,319,-80.7229995727539,40.0699996948242,185566,50
"320",494,7061,806,1164,3933,2981,2987,1508,6036,320,-97.3369979858398,37.6920013427734,411313,17
"321",456,6404,549,1179,2793,2747,599,1126,6805,321,-98.5130004882812,33.9099998474121,121082,44
"322",558,7284,860,464,3097,2906,196,726,3288,322,-77.0029983520508,41.2449989318848,118416,39
"323",597,7927,1445,1115,4532,3112,4545,1923,6174,323,-75.5500030517578,39.7470016479492,523221,9
"324",564,6858,1099,1423,2904,2876,1077,2668,5390,324,-77.9229965209961,34.2369995117188,103471,28
"325",562,8715,1805,680,3643,3299,1784,910,5040,325,-71.7949981689453,42.2719993591309,402918,20
"326",535,6440,317,1106,3731,2491,996,2140,4986,326,-120.513000488281,46.5950012207031,172508,48
"327",540,8371,713,440,2267,2903,1022,842,4946,327,-76.7279968261719,39.9599990844727,381255,39
"328",570,7021,1097,938,3374,2920,2797,1327,3894,328,-80.7289962768555,41.1699981689453,531350,36
"329",608,7875,212,1179,2768,2387,122,918,4694,329,-121.622001647949,39.1279983520508,101979,5
